Package,GHSA_ID,CVE-ID,Links,Detection_ObjLupAnsys,Detection_ODGen,Detection_Explode.js,Detection_FesaJS
lodash 4.17.15,,CVE-2018-3721 ,https://security.snyk.io/vuln/SNYK-JS-LODASH-608086 https://github.com/advisories/GHSA-fvqr-27wr-82fm,timed out,65s,TP,TP
lodash 4.17.4,,,https://github.com/lodash/lodash/commit/d8e069cc3410082e44eb18fcf8e7f3d08ebe1d4a,timed out,timed out,TP,FN
lodash 4.17.9,,CVE-2018-16487,https://hackerone.com/reports/380873 https://security.snyk.io/vuln/SNYK-JS-LODASH-73638 https://github.com/advisories/GHSA-h726-x36v-rx45,timed out,65s,FN,TP
lodash.defaultsdeep 4.6.0,,,https://snyk.io/vuln/SNYK-JS-LODASHDEFAULTSDEEP-450198,timed out,FN,TP,TP
lodash.merge 4.6.0,GHSA-h726-x36v-rx45,,,timed out,timed out,TP,TP
lodash.mergewith 4.6.0,,,,timed out,"FN, crashed",TP,TP
lodash.mergewith 4.6.1,,,https://hackerone.com/reports/380873,timed out,timed out,TP,TP
lutils 2.4.0,,CVE-2021-23396,https://security.snyk.io/vuln/SNYK-JS-LUTILS-1311023,timed out,timed out,TP,TP
lutils-merge 0.2.6,,,https://hackerone.com/reports/439107,timed out,timed out,TP,TP
madlib-object-utils 0.1.6,,CVE-2020-7701,https://security.snyk.io/vuln/SNYK-JS-MADLIBOBJECTUTILS-598676 https://github.com/advisories/GHSA-jvf5-q4h5-2jmj,5s,5s,TP,TP
madlib-object-utils 0.1.7,,CVE-2022-24279,https://security.snyk.io/vuln/SNYK-JS-MADLIBOBJECTUTILS-2388572,2s,2s,TP,TP
mathjs 7.4.0,GHSA-jvf5-q4h5-2jmj,CVE-2020-7743,https://security.snyk.io/vuln/SNYK-JS-MATHJS-1016401 https://github.com/advisories/GHSA-x2fc-mxcx-w4mf,3s,3s,TP,TP
merge 1.2.0,GHSA-pfv6-prqm-85q8,,https://hackerone.com/reports/381194,3s,3s,TP,TP
merge 2.1.0,,CVE-2020-28499,https://security.snyk.io/vuln/SNYK-JS-MERGE-1042987 https://github.com/advisories/GHSA-7wpw-2hjm-89gp,39s,59s,TP,TP
merge-change 1.0.1,,CVE-2021-23421,https://github.com/VladimirShestakov/merge-change/blob/9901f145e06158f284f52de42e6ba5b0f702fb65/utils.js#L89-L123 https://security.snyk.io/vuln/SNYK-JS-MERGECHANGE-1310985,13s,3s,TP,TP
merge-deep 3.0.0,,,https://hackerone.com/reports/310708,timed out,timed out,TP,TP
merge-deep2 3.0.5,,CVE-2021-23700,https://security.snyk.io/vuln/SNYK-JS-MERGEDEEP2-1727593 https://github.com/advisories/GHSA-j28q-p8ww-cp87,1s,3s,TP,TP
merge-objects 1.0.3,,CVE-2018-3753,https://security.snyk.io/vuln/npm:merge-objects:20180415 https://github.com/advisories/GHSA-fp82-2h99-3fpp,timed out,timed out,TP,TP
merge-objects 1.0.5,GHSA-j28q-p8ww-cp87,,,timed out,timed out,TP,TP
merge-options 1.0.0,GHSA-fp82-2h99-3fpp,,,timed out,timed out,TP,TP
merge-recursive 0.0.3,,,,timed out,timed out,TP,TP
mergify 1.0.2,,,https://hackerone.com/reports/439098,timed out,timed out,TP,TP
minimist 1.0.0,,CVE-2020-7598,https://security.snyk.io/vuln/SNYK-JS-MINIMIST-559764 https://github.com/advisories/GHSA-vh95-rmgr-6w4m,timed out,timed out,TP,TP
minimist 1.2.2,,,https://snyk.io/vuln/SNYK-JS-MINIMIST-559764,timed out,128s,TP,TP
mithril 1.0.0,,,https://security.snyk.io/vuln/SNYK-JS-MITHRIL-460113 https://github.com/advisories/GHSA-c3px-v9c7-m734,timed out,3s,TP,TP
mithril 2.0.1,,,https://github.com/MithrilJS/mithril.js/commit/97fa1788c2184ff4b87fd3f558b7003f9eeee2b1,timed out,timed out,FN,TP
mixin-deep 1.3.0,,,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,2s,2s,TP,TP
mixin-deep 2.0.0,,CVE-2019-10746,https://security.snyk.io/vuln/SNYK-JS-MIXINDEEP-450212 https://github.com/advisories/GHSA-fhjf-83wg-r2j9,timed out,timed out,TP,TP
mixme 0.5.0,,CVE-2021-29491,https://github.com/adaltas/node-mixme/commit/cfd5fbfc32368bcf7e06d1c5985ea60e34cd4028,FN,FN,TP,TP
mootools 1.5.2,GHSA-fhjf-83wg-r2j9,CVE-2021-23432,https://security.snyk.io/vuln/SNYK-JS-MOOTOOLS-1325536 https://github.com/advisories/GHSA-x6hx-7gh3-3q98,FN,FN,TP,TP
mout 1.0.0,,CVE-2020-7792,https://security.snyk.io/vuln/SNYK-JS-MOUT-1014544 ,timed out,timed out,FN,TP
mout-1.2.3,,CVE-2022-21213,,FN,FN,FN,TP
mpath 0.4.1,,,https://hackerone.com/reports/390860,81s,42s,FN,TP
mquery 3.2.1,GHSA-vvv8-xw5f-3f88,,https://security.snyk.io/vuln/SNYK-JS-MQUERY-1089718 https://github.com/advisories/GHSA-45q2-34rf-mr94,"FN, with FP",timed out,FN,TP
msgpack5 5.2.0,,CVE-2021-21368,https://github.com/advisories/GHSA-gmjw-49p4-pcfm,timed out,timed out,FN,TP
nconf 0.11.3,,CVE-2022-21803,https://security.snyk.io/vuln/SNYK-JS-NCONF-2395478,timed out,timed out,FN,TP
nedb 1.8.0,,CVE-2021-23395,https://security.snyk.io/vuln/SNYK-JS-NEDB-1305279,timed out,timed out,TP,TP
nested-object-assign 1.0.3,GHSA-6xwr-q98w-rvg7,CVE-2021-23329,https://security.snyk.io/vuln/SNYK-JS-NESTEDOBJECTASSIGN-1065977,6s,FN,TP,TP
nestie 1.0.0,,,https://security.snyk.io/vuln/SNYK-JS-NESTIE-1300518 https://github.com/advisories/GHSA-m7rg-8wvq-846v,timed out,timed out,TP,FN
nis-utils 0.6.10,,CVE-2020-7703,https://security.snyk.io/vuln/SNYK-JS-NISUTILS-598799 https://github.com/advisories/GHSA-gr58-j5wh-m333,FN,FN,TP,TP
node.extend 2.0.0,,,https://hackerone.com/reports/430831,FN,FN,TP,TP
node-dig 1.0.1,,,https://security.snyk.io/vuln/SNYK-JS-NODEDIG-1069825 ,3s,2s,TP,TP
nodee-utils 1.2.2,,CVE-2020-7722,https://security.snyk.io/vuln/SNYK-JS-NODEEUTILS-598679 https://github.com/advisories/GHSA-p6jh-p7q8-pcrg,7s,6s,TP,TP
node-forge 0.9.0,,CVE-2020-7720,https://security.snyk.io/vuln/SNYK-JS-NODEFORGE-598677 https://github.com/advisories/GHSA-92xj-mqp7-vmcj,FN,FN,TP,TP
node-oojs 1.4.0,,CVE-2020-7721,https://security.snyk.io/vuln/SNYK-JS-NODEOOJS-598678 https://github.com/advisories/GHSA-j4rw-x3vg-c8r7,4s,4s,TP,TP
notevil 1.3.3,,CVE-2021-23771,https://security.snyk.io/vuln/SNYK-JS-NOTEVIL-2385946,17s,16s,TP,TP
object-collider 1.0.3,,CVE-2021-25914,https://www.mend.io/vulnerability-database/CVE-2021-25914,32s,33s,TP,FN
object-extend 0.5.0,GHSA-8g4m-cjm2-96wq,CVE-2021-23702,https://security.snyk.io/vuln/SNYK-JS-OBJECTEXTEND-2401470,"FN, with FP","FN, with FP",TP,TP
objection 2.0.0,,CVE-2021-3766,https://security.snyk.io/vuln/SNYK-JS-OBJECTION-1582910 https://github.com/advisories/GHSA-r659-8xfp-j327,2s,timed out,TP,TP
object-path 0.11.4,GHSA-m639-9whg-fw97,CVE-2020-15256,https://security.snyk.io/vuln/SNYK-JS-OBJECTPATH-1017036 https://github.com/advisories/GHSA-v39p-96qg-c8rf https://hackerone.com/reports/878332,timed out,timed out,TP,TP
object-path 0.11.4,GHSA-r659-8xfp-j327,CVE-2021-23434,https://security.snyk.io/vuln/SNYK-JS-OBJECTPATH-1569453 https://github.com/advisories/GHSA-v39p-96qg-c8rf,FN,FN,TP,TP
object-path-set 1.0.0,GHSA-v39p-96qg-c8rf,CVE-2020-15256,https://security.snyk.io/vuln/SNYK-JS-OBJECTPATHSET-607908 https://github.com/advisories/GHSA-cwx2-736x-mf6w,3s,2s,TP,TP
objnest 5.0.0,GHSA-v39p-96qg-c8rf,,https://security.snyk.io/vuln/SNYK-JS-OBJNEST-1041787 ,3s,2s,TP,TP
objtools 3.0.0,GHSA-cwx2-736x-mf6w,,https://security.snyk.io/vuln/SNYK-JS-OBJTOOLS-674471 ,1s,2s,TP,TP
objutil 2.17.3,,,https://security.snyk.io/vuln/SNYK-JS-OBJUTIL-559496 ,"FN, with FP","FN, with FP",TP,TP
patchmerge 1.0.0,,CVE-2021-25916,https://security.snyk.io/vuln/SNYK-JS-PATCHMERGE-1086585 https://github.com/advisories/GHSA-84g3-cv89-m9gm,timed out,timed out,TP,TP
patchmerge 1.0.1,,CVE-2021-25916,https://security.snyk.io/vuln/SNYK-JS-PATCHMERGE-1086585 https://github.com/advisories/GHSA-84g3-cv89-m9gm,125s,2s,FN,TP
path 4.6.8,GHSA-84g3-cv89-m9gm,CVE-2020-7708,https://github.com/Irrelon/irrelon-path/commit/8a126b160c1a854ae511659c111413ad9910ebe3,1s,1s,TP,TP
pathval 1.1.0,GHSA-84g3-cv89-m9gm,CVE-2020-7751,https://security.snyk.io/vuln/SNYK-JS-PATHVAL-596926 ,1s,1s,TP,TP
paypal-adaptive 0.4.1,,CVE-2020-7643,https://security.snyk.io/vuln/SNYK-JS-PAYPALADAPTIVE-565089 https://github.com/advisories/GHSA-v3r2-3fp4-rp46,3s,2s,TP,TP
phpjs 1.3.2,GHSA-v3r2-3fp4-rp46,CVE-2020-7700,https://security.snyk.io/vuln/SNYK-JS-PHPJS-598681 https://github.com/advisories/GHSA-m428-jqc4-2p5j,3s,3s,TP,TP
plain-object-merge 1.0.1,GHSA-m428-jqc4-2p5j,,https://security.snyk.io/vuln/SNYK-JS-PLAINOBJECTMERGE-1085643 ,timed out,FN,FN,TP
predefine 0.1.2,,CVE-2020-28280,https://security.snyk.io/vuln/SNYK-JS-PREDEFINE-1054935 https://github.com/advisories/GHSA-mx3x-ghqm-r43h,119s,1s,TP,TP
promisehelpers 0.0.5,,CVE-2020-7723,https://security.snyk.io/vuln/SNYK-JS-PROMISEHELPERS-598686 https://github.com/advisories/GHSA-rj5f-7c8x-gjg4,timed out,timed out,FN,FN
properties-reader 2.0.0,GHSA-rj5f-7c8x-gjg4,CVE-2020-28471,https://security.snyk.io/vuln/SNYK-JS-PROPERTIESREADER-1048968 ,1s,1s,TP,TP
property-expr 2.0.2,,CVE-2020-7707,https://security.snyk.io/vuln/SNYK-JS-PROPERTYEXPR-598800 https://github.com/advisories/GHSA-6fw4-hr69-g3rv,1s,1s,TP,TP
protobufjs 6.11.0,GHSA-6fw4-hr69-g3rv,CVE-2022-25878,https://security.snyk.io/vuln/SNYK-JS-PROTOBUFJS-2441248,2s,2s,TP,TP
putil-merge 3.0.0,GHSA-g954-5hwp-pp24, CVE-2021-25953,https://security.snyk.io/vuln/SNYK-JS-PUTILMERGE-1317077 https://github.com/advisories/GHSA-9x7m-9hpg-xxmw,timed out,timed out,TP,TP
qs 6.2.2,GHSA-9x7m-9hpg-xxmw,,,timed out,timed out,TP,TP
querymen 2.1.3,,CVE-2020-7600,https://security.snyk.io/vuln/SNYK-JS-QUERYMEN-559867 https://github.com/advisories/GHSA-2cf2-2383-h4jv,10s,8s,TP,TP
querymen 2.1.4,,CVE-2022-25871,https://security.snyk.io/vuln/SNYK-JS-QUERYMEN-2391488,4s,4s,FN,TP
rdf-graph-array 0.3.0,,CVE-2019-10798,https://security.snyk.io/vuln/SNYK-JS-RDFGRAPHARRAY-551803 https://github.com/advisories/GHSA-prv2-xwr7-hr57,"FN, with FP","FN, with FP",TP,TP
reggae 0.0.1,GHSA-prv2-xwr7-hr57,,,"FN, with FP","FN, with FP",TP,TP
rfc6902 4.0.2,,,https://security.snyk.io/vuln/SNYK-JS-RFC6902-1053318 ,1s,1s,TP,TP
